Timestamp,Name of example,Topic,Description
3/23/2020 23:29:47,Biomedical manufacturing in Singapore,"Science, Economy","The manufacturing output in the BMS sector rose from S$6.3 billion in 2000 to $21.5 billion in 2014.

In 2012, the Value-Add (VA) of the BMS industry rose to $<code>15.3</code> billion, contributing <code>25.5</code>% of total manufacturing VA. In April 2017, biomedical manufacturing was the second largest contributor to total manufacturing value-add.

BMS is now the largest VA contributor to the manufacturing sector in Singapore and has rapidly grown to become the fourth pillar of the economy. In fact, eight of the top 10 pharmaceutical companies have facilities in Singapore, with four of the top 10 medications by global revenue manufactured there

Other than developing cutting-edge innovations to lead our biomedical manufacturing sector, Singapore’s biomedical science (BMS) sector  also provides much employment for highly-skilled labour. A*Star has embarked on an aggressive talent development programme to attract Singaporeans to join the BMS through scholarships and fellowship"
3/23/2020 23:37:01,Medical Tourism in Singapore," Science, Economic, Medicine","Singapore has a robust public-private healthcare system that comprises a number of world-class hospitals, allowing it to become the region’s preferred destination for those seeking advanced medical care
<code>550000</code> overseas patients visit the city-state every year to seek medical treatment. In <code>2014</code> (year), medical tourists injected S$<code>994</code> million into the economy.
One reason that medical tourism has been such a success is that the Singapore Tourism Board has a number of programmes to promote private healthcare companies
Hospitals like Farrer Park Hospital and Mt Elizabeth are some of the most popular hospitals receiving foreign medical tourists"
3/25/2020 1:07:12,Singapore as a Technology Hub,"Singapore, Technology","Once a sleepy fishing village, the island city-state has emerged as a prosperous technology hub
It is a “miniature Silicon Valley,” according to Hewlett Packard Enterprise (HPE) CEO Meg Whitman) in the heart of Southeast Asia.
Today, <code>80</code> of the top 100 tech firms in the world have a presence in Singapore
This reinforces its status as a major East-West trading center and the gateway to the lucrative Asian marketplace.
The 2017 Global Innovation Index ranked Singapore as the <code>most</code> innovative country in Asia, while the 2017 Bloomberg Innovation Index ranked Singapore <code>sixth</code> globally.

Reasons
1. Singapore ranks <code>first</code> among all Asian countries, and fourth in the world, for intellectual property rights protection, according to the World Economic Forum
2. Global Talent Competitiveness Index (2020) ranks Singapore <code>3rd</code> in the world and the only Asian country in the overall list of top 10 countries when it comes to attracting talent"
3/25/2020 1:08:08,HP Enterprise in Singapore,"Singapore, Technology, Business","In May 2017, HPE poured US$<code>140</code> million into Singapore
This includes the construction of a brand new campus and the launch of an accelerator, InnovateNext, which is supported by the Singapore Economic Development Board.
The company currently employs <code>1,600</code> workers in Singapore and plans to add more"
3/25/2020 1:09:01,Palo Alto Networks in Singapore,"Singapore, Technology, Business","Palo Alto Networks
This cybersecurity company sells its security products to other businesses, and has made Singapore its Asian headquarters, one of its most critical offices.
As so many other tech-related companies are already doing business here, Palo Alto has access to a critical mass of potential customers all located within a few miles of its office"
3/25/2020 1:10:33,Puppet Company in Singapore,"Singapore, Technology, Business","Puppet: https://puppet.com/company/
Puppet is an up and coming IT company
It makes an open-source <code>software configuration management system</code> that has quickly become one of the most essential components of enterprise IT toolkit
The company has grown so quickly that it has opened a new regional headquarters in Singapore that serves the <code>Asia-Pacific</code> and Japan regions."
3/25/2020 1:16:47,Microsensor Breakthrough (December 2019),"Singapore, Science, Technology, Medicine","Problem:
1. <code>Cardiac</code> devices such as pacemakers are crucial for monitoring a person's heart rhythms, but the procedure to implant them is <code>invasive</code> and comes with the risks of <code>infection</code> and <code>skin bruising</code>
2. When the devices run out of battery power a few years later, they have to be replaced through another invasive surgical operation.
3. Sometimes, the outline of these devices also protrudes from the skin

Solution
1. <code>NUS researchers</code> have invented a sensor that is smaller than the tip of a pencil, and can be implanted under the skin using just a syringe. 
2. It is also wireless and does not require a battery, which means it could technically last forever. 
3. More importantly, the signals that the tiny device sends can be read clearly and easily.

Besides monitoring cardiac rhythms, this microsensor also allows monitoring of other health conditions. This includes monitoring blood glucose in diabetic patients without the need for multiple pinpricks in the fingers to draw blood for testing"
3/25/2020 1:22:42,Portable Artificial Kidney (2020)(Medtech),"Singapore, Science, Technology, Medicine","Problem
1. Chronic renal disease results in a loss of kidney function, which means kidney patients have to be hooked up to a <code>20</code>kg dialysis machine for almost <code>10</code> hours a day to clear their blood of waste and excess fluids.
2. Some have to rely on the treatment <code>permanently</code>

Solution
1. <code>AWAK technologies</code>, a Singaporean invented the artificial kidney, worn externally, which consists of a permanent pump and a disposable cartridge that acts as an advanced filter to clear toxins from the body
2. Much smaller size than regular PD machines, but can be used for <code>7</code> to <code>10</code> hours a day
3. Still under clinical trials but was granted “<code>Breakthrough Device Designation</code>” by the Food & Drug Administration (FDA) of the USA"
3/25/2020 1:27:29,Environment-friendly food packaging material (2017)(Green Tech),"Singapore, Science, Technology, Food, Environment","Problem
1. In 2014 alone, Singapore generated <code>788,600</code> tonnes of food waste, contributing to more than 10 per cent of total waste.
2. Plastic waste, including food packaging, rose to a high of <code>869,000</code> tonnes

Solution
1. <code>NUS</code> researchers may have found an environment-friendly food packaging material that slows down fungal and microbial growth, and is free of chemicals
2. This allows food products to last longer in their packaging, with little, or no chemical preservatives needed
3. By being able to extend food products’ shelf life, food wastage can be minimized, leading to an increase in cost savings and protection for our environment
4. Still being further tested"
3/29/2020 0:16:35,Malala Yousafazai,"Education, Women","She was in <code>Swat Valley</code>, northwest Pakistan.
Advocates for the right of women to get education
Blogged for the BBC about the local Taliban banning girls from attending school
On 9 October <code>2012</code>, Yousafazai was shot by the Taliban in an assasination attempt in retaliation for her activism, for being against traditional Muslim values. (that women should stay at home)
In 2014, received the <code>Nobel Peace Prize</code>
Currently studying for a bachelor's degree in Philosophy, Politics and Economics at Lady Margaret Hall, Oxford."
